gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
ctg221_12x_c_26	29883	30572	690	1	0.551	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_27	30572	31282	711	1	0.565	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_28	31336	31833	498	1	0.572	11	AGxAG	GENOMAD.208192.PC	6.265e-88	285	0	0	0	1	NA	NA	NA	PF19620	L-2-amino-thiazoline-4-carboxylic acid hydrolase
ctg221_12x_c_29	31849	32616	768	1	0.566	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_30	33029	33754	726	-1	0.492	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_31	34085	34210	126	-1	0.524	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_32	34394	35503	1110	-1	0.599	11	GGAG/GAGG	GENOMAD.223160.VP	2.448e-06	52	0	0	0	11477	Zierdtviridae	NA	NA	COG3953	SLT domain protein
ctg221_12x_c_33	35505	36410	906	-1	0.582	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_34	36467	36940	474	-1	0.563	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_35	36970	37263	294	1	0.568	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_36	38285	38587	303	1	0.647	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_37	38852	39223	372	-1	0.672	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_38	39524	39988	465	1	0.585	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_39	40288	40632	345	1	0.504	11	AGxAG	GENOMAD.221377.PV	6.273e-23	95	0	0	0	1	NA	NA	NA	PF07328	T-DNA border endonuclease VirD1
ctg221_12x_c_40	40953	42299	1347	1	0.548	11	None	GENOMAD.127132.PV	2.577e-39	156	0	1	0	1	NA	MOBP1	NA	PF03432	Relaxase/Mobilisation nuclease domain
ctg221_12x_c_41	43001	43588	588	1	0.582	11	GGAGG	GENOMAD.046829.PP	1.972e-05	47	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
ctg221_12x_c_42	43588	43821	234	1	0.534	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_43	44816	45526	711	1	0.506	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_44	45890	46423	534	1	0.562	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_45	46609	47784	1176	1	0.486	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_46	47850	49205	1356	-1	0.633	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_47	49341	49844	504	1	0.458	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_48	49841	51259	1419	1	0.449	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_49	51256	52158	903	1	0.466	11	AGGAG	GENOMAD.211763.PC	1.659e-33	134	0	0	0	1	NA	NA	NA	PF09019	EcoRII C terminal
ctg221_12x_c_50	52210	53361	1152	-1	0.484	11	GGAG/GAGG	GENOMAD.136632.VV	8.679e-09	60	0	0	0	2561	Caudoviricetes	NA	NA	PF00145;TIGR00675;K00558;COG0270	DNA-methyltransferase (dcm)
ctg221_12x_c_51	53466	54044	579	-1	0.603	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_52	54532	55512	981	1	0.547	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_53	56337	57512	1176	-1	0.634	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_54	57524	58402	879	-1	0.623	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_55	58404	59321	918	-1	0.615	11	None	GENOMAD.129525.CP	6.101e-05	47	0	0	0	1	NA	NA	NA	PF00528;K02054;COG4132;TIGR01253	ABC-type uncharacterized transport system, permease component
ctg221_12x_c_56	59326	60624	1299	-1	0.592	11	AGGAG	GENOMAD.127158.CP	4.839e-25	112	0	0	0	1	NA	NA	NA	PF02030;K17329;COG2182;TIGR03850	Maltose-binding periplasmic protein MalE
ctg221_12x_c_57	60731	61276	546	-1	0.595	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_1	23	751	729	-1	0.565	11	GGA/GAG/AGG	GENOMAD.060888.PP	1.933e-130	412	0	1	0	1	NA	F_traK	NA	PF06586;K12066;TIGR02756	type-F conjugative transfer system secretin TraK
ctg247_8x_c_2	738	1304	567	-1	0.469	11	AGGA	GENOMAD.092577.PC	1.194e-19	89	0	1	0	1	NA	F_traE	NA	PF05309;TIGR02761;K12067;COG3736	type IV conjugative transfer system protein TraE
ctg247_8x_c_3	1326	1637	312	-1	0.471	11	None	GENOMAD.078260.PC	3.427e-32	121	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	type IV conjugative transfer system protein TraL
ctg247_8x_c_4	1642	2004	363	-1	0.499	11	GGAG/GAGG	GENOMAD.000750.PP	1.018e-52	181	0	1	0	1	NA	NA	NA	PF05513;TIGR02758	TraA
ctg247_8x_c_5	2038	2265	228	-1	0.425	11	GGAG/GAGG	GENOMAD.016814.PP	5.69e-15	70	0	1	0	1	NA	NA	NA	PF05509;TIGR04563;COG4877	TraY domain
ctg247_8x_c_6	2353	3030	678	-1	0.316	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_7	3164	3547	384	-1	0.385	11	GGAG/GAGG	GENOMAD.000804.PP	1.95e-65	218	0	1	0	1	NA	NA	NA	PF05261	TraM protein, DNA-binding
ctg247_8x_c_8	3971	4480	510	1	0.457	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_9	4777	5598	822	-1	0.443	11	AGGAG	GENOMAD.214654.VP	2.18e-26	112	0	0	0	2561	Caudoviricetes	NA	NA	PF06067;TIGR03299	phage/plasmid-like protein TIGR03299
ctg247_8x_c_10	5718	6005	288	-1	0.510	11	AGGAG	GENOMAD.003788.PP	3.089e-45	158	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_11	6931	7143	213	-1	0.493	11	GGAG/GAGG	GENOMAD.001591.PP	5.951e-27	104	0	0	0	1	NA	NA	NA	PF17496	NA
ctg247_8x_c_12	7365	8084	720	-1	0.603	11	AGGAG	GENOMAD.000503.PP	6.983e-52	185	0	1	0	1	NA	NA	NA	PF06952	PsiA protein
ctg247_8x_c_13	8081	8515	435	-1	0.579	11	GGAG/GAGG	GENOMAD.000184.PP	4.134e-82	267	0	1	0	1	NA	NA	NA	PF06290	Plasmid SOS inhibition protein (PsiB)
ctg247_8x_c_14	8570	10528	1959	-1	0.584	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_15	10594	10827	234	-1	0.509	11	GGAG/GAGG	GENOMAD.068436.PP	7.63e-51	173	0	0	0	1	NA	NA	NA	PF06006	Bacterial protein of unknown function (DUF905)
ctg247_8x_c_16	10890	11429	540	-1	0.593	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_17	12072	12260	189	-1	0.566	11	GGAGG	GENOMAD.007508.PP	2.763e-23	93	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_18	12286	12849	564	-1	0.590	11	GGAG/GAGG	GENOMAD.151494.PC	1.763e-06	50	0	0	0	1	NA	NA	NA	PF05185;K00570;COG3963;TIGR00755	Phospholipid N-methyltransferase
ctg247_8x_c_19	12897	14258	1362	-1	0.569	11	AGGAG	GENOMAD.145556.PV	4.1e-11	68	0	0	0	1	NA	NA	NA	PF12083	NA
ctg247_8x_c_20	14310	14540	231	-1	0.580	11	AGGA	GENOMAD.000725.PP	2.749e-22	91	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_21	15573	15764	192	-1	0.510	11	GGAG/GAGG	GENOMAD.000732.PP	4.675e-26	101	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_22	15761	16183	423	-1	0.560	11	AGGAG	GENOMAD.001301.PP	3.415e-82	267	0	0	0	1	NA	NA	NA	PF07128	NA
ctg247_8x_c_23	16230	16655	426	-1	0.552	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_24	17072	17899	828	-1	0.606	11	None	GENOMAD.000720.PP	4.377e-172	534	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_25	17899	18333	435	-1	0.579	11	AGGAG	GENOMAD.000661.PP	2.486e-79	259	0	0	0	1	NA	NA	NA	PF07128	NA
ctg247_8x_c_26	18347	18568	222	-1	0.536	11	GGAGG	GENOMAD.069161.PP	5.182e-45	156	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_27	18569	19252	684	-1	0.566	11	AGGAG	GENOMAD.160402.VP	4.168e-14	74	0	0	0	2561	Caudoviricetes	NA	NA	PF09445;K13581;COG3392;TIGR00755	Adenine-specific DNA methylase
ctg247_8x_c_28	19637	20563	927	-1	0.549	11	AGGAG	GENOMAD.002315.PP	4.523e-33	133	0	0	0	1	NA	NA	NA	PF06924	NA
ctg247_8x_c_29	21406	22377	972	-1	0.461	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_30	22377	23543	1167	-1	0.471	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_31	24131	24886	756	-1	0.474	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_32	25660	26466	807	-1	0.574	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_33	26467	26772	306	-1	0.503	11	GGA/GAG/AGG	GENOMAD.108388.PC	6.757e-56	189	0	0	0	1	NA	NA	NA	PF01845;K19163	CcdB protein
ctg247_8x_c_34	26774	26992	219	-1	0.507	11	GGAG/GAGG	GENOMAD.100141.PC	5.636e-36	130	0	0	0	1	NA	NA	NA	PF07362;COG5302	Post-segregation antitoxin (ccd killing mechanism protein) encoded by the F plasmid
ctg247_8x_c_35	27560	28072	513	1	0.546	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_36	28106	29239	1134	-1	0.520	11	AGGA	GENOMAD.100753.PC	1.446e-147	469	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_37	29406	30179	774	-1	0.512	11	GGA/GAG/AGG	GENOMAD.136844.PV	4.485e-111	357	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_38	30192	30692	501	-1	0.487	11	GGAGG	GENOMAD.219898.PV	1.947e-84	275	0	0	0	1	NA	NA	NA	PF18736	HEPN pEK499 p136
ctg247_8x_c_39	30957	31187	231	1	0.558	11	AGGAG	GENOMAD.095277.PP	1.502e-06	46	0	0	0	1	NA	NA	NA	COG4456	Virulence-associated protein VagC (function unknown)
ctg247_8x_c_40	31184	31600	417	1	0.602	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_41	31675	33240	1566	1	0.535	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_42	33225	34247	1023	1	0.541	11	AGGAG	GENOMAD.212701.VC	0.000637	44	0	0	0	1	NA	NA	NA	PF01443	Viral (Superfamily 1) RNA helicase
ctg247_8x_c_43	34501	34878	378	-1	0.537	11	None	GENOMAD.111777.PV	3.772e-07	50	0	0	0	1	NA	NA	NA	PF03400	NA
ctg247_8x_c_44	34923	35198	276	-1	0.525	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_45	35554	36468	915	1	0.481	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_46	36468	37295	828	1	0.518	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_47	37292	38149	858	1	0.523	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_48	38146	39003	858	1	0.493	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_49	39471	39905	435	1	0.474	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_50	39959	40174	216	1	0.412	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_51	40246	40626	381	1	0.423	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_52	41006	42199	1194	-1	0.564	11	None	GENOMAD.167731.PC	4.14e-190	593	0	0	0	1	NA	NA	NA	COG2223	Nitrate/nitrite transporter NarK
ctg247_8x_c_53	42335	44059	1725	1	0.541	11	AGGAG	GENOMAD.159812.PC	2.174e-58	217	0	0	0	1	NA	NA	NA	PF04183;PF06276;K24108;COG4264	Siderophore synthetase component
ctg247_8x_c_54	44060	44488	429	1	0.557	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_55	44482	45006	525	1	0.554	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_56	45006	46748	1743	1	0.545	11	GGAGG	GENOMAD.158784.PC	1.792e-113	380	0	0	0	1	NA	NA	NA	PF04183;PF06276;K03895;COG4264	Siderophore synthetase component
ctg247_8x_c_57	46745	48022	1278	1	0.473	11	AGGA	GENOMAD.104997.VV	2.631e-05	49	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_58	48104	50305	2202	1	0.547	11	GGAGG	GENOMAD.147680.CP	1.291e-105	363	0	0	0	1	NA	NA	NA	PF14905;PF07715;TIGR01776;K16087;COG4206	TonB-dependent lactoferrin and transferrin receptors
ctg247_8x_c_59	50685	50960	276	1	0.525	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_60	51005	51382	378	1	0.537	11	None	GENOMAD.111777.PV	3.772e-07	50	0	0	0	1	NA	NA	NA	PF03400	NA
ctg247_8x_c_61	51562	51813	252	-1	0.484	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_62	52209	52565	357	-1	0.487	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_63	52606	52902	297	1	0.495	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_64	53311	54288	978	1	0.524	11	None	GENOMAD.132605.PV	8.92e-81	273	0	1	0	2561	Caudoviricetes	NA	NA	PF07042;COG5527	TrfA protein
ctg247_8x_c_65	54364	54483	120	-1	0.475	11	GGA/GAG/AGG	GENOMAD.008318.PP	8.235e-17	73	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_66	54573	55313	741	-1	0.575	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_67	55832	56089	258	1	0.457	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_68	56045	56227	183	-1	0.492	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_69	56759	57928	1170	1	0.338	11	AGGAG	GENOMAD.015691.PP	5.812e-235	722	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_70	58124	58417	294	-1	0.384	11	AGGAG	GENOMAD.009971.PP	1.126e-48	168	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_71	58523	58798	276	-1	0.482	11	None	GENOMAD.137354.PC	1.311e-13	67	0	0	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385;K19093	ParE toxin of type II toxin-antitoxin system, parDE
ctg247_8x_c_72	58798	59076	279	-1	0.556	11	GGA/GAG/AGG	GENOMAD.098049.PC	6.722e-36	131	0	0	0	1	NA	NA	NA	PF19807;COG3905;TIGR04563	Predicted transcriptional regulator
ctg247_8x_c_73	59687	60439	753	1	0.495	11	None	GENOMAD.123887.CP	6.74e-19	89	0	0	0	1	NA	NA	NA	PF01614;PF14394;K10973;COG1414;TIGR02431	DNA-binding transcriptional regulator, IclR family
ctg247_8x_c_74	60485	61408	924	-1	0.551	11	GGAGG	GENOMAD.183688.PC	9.265e-34	135	0	0	0	1	NA	NA	NA	PF03812;TIGR00793;K02526;COG0385	2-keto-3-deoxygluconate transporter
ctg247_8x_c_75	61483	61863	381	-1	0.535	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_76	62048	62914	867	1	0.597	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_77	62904	63791	888	1	0.604	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_78	63802	64626	825	1	0.605	11	AGGAG	GENOMAD.151021.CP	1.112e-23	104	0	0	0	1	NA	NA	NA	PF14582;K03651;COG1409;TIGR03729	3',5'-cyclic AMP phosphodiesterase CpdA
ctg247_8x_c_79	64632	65705	1074	1	0.617	11	GGA/GAG/AGG	GENOMAD.126777.CP	1.909e-16	84	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
ctg247_8x_c_80	65698	67008	1311	1	0.592	11	GGAG/GAGG	GENOMAD.124030.CP	9.096e-69	243	0	0	0	1	NA	NA	NA	PF13416;K05813;TIGR03850;COG2182	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family
ctg247_8x_c_81	67067	67360	294	-1	0.531	11	None	GENOMAD.146005.PC	1.367e-62	208	0	0	0	1	NA	NA	NA	PF02281;PF04693;COG5659	Transposase Tn5 dimerisation domain; Archaeal putative transposase ISC1217
ctg247_8x_c_82	67452	67625	174	-1	0.477	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_83	67707	68153	447	-1	0.517	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_84	68137	68595	459	-1	0.542	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_85	68702	68920	219	-1	0.539	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_86	69394	70572	1179	1	0.405	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_87	70565	72016	1452	1	0.451	11	GGA/GAG/AGG	GENOMAD.134182.CP	1.506e-111	370	0	0	0	2561	Caudoviricetes	NA	NA	PF03553;K03315;TIGR00931;COG1757	Na+/H+ antiporter NhaC
ctg247_8x_c_88	72273	73892	1620	-1	0.517	11	None	GENOMAD.146102.PC	3.758e-05	49	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_89	74116	74409	294	1	0.527	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_90	74485	74769	285	1	0.516	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_91	74808	75713	906	1	0.547	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_92	76094	76474	381	-1	0.525	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_93	76747	76890	144	1	0.479	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_94	76897	76992	96	1	0.323	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_95	77076	78239	1164	1	0.495	11	AGGAG	GENOMAD.160283.CP	9.342e-05	47	0	0	0	1	NA	NA	NF012174	K08153;COG2223	Nitrate/nitrite transporter NarK
ctg247_8x_c_96	78577	79608	1032	1	0.526	11	GGA/GAG/AGG	GENOMAD.137637.CP	7.731e-10	63	0	0	0	1	NA	NA	NA	PF00532;TIGR01481;COG1609;K02529	catabolite control protein A
ctg247_8x_c_97	79568	80602	1035	1	0.512	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_98	80666	81379	714	1	0.402	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_99	82068	83090	1023	-1	0.504	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_100	83250	83732	483	-1	0.509	11	GGAG/GAGG	GENOMAD.108062.PV	3.268e-84	274	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_101	83849	84688	840	-1	0.550	11	AGGA/GGAG/GAGG	GENOMAD.209479.PV	9.812e-32	128	0	0	0	1	NA	NA	NA	PF00929;K10857;COG0847;TIGR01406	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease
ctg247_8x_c_102	84734	85015	282	-1	0.528	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_103	85012	85266	255	-1	0.522	11	GGA/GAG/AGG	GENOMAD.115009.PC	3.756e-08	51	0	0	0	1	NA	NA	NA	PF04221;COG4877;TIGR02384	RelB antitoxin
ctg247_8x_c_104	86027	86773	747	-1	0.487	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_105	86788	87522	735	-1	0.480	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_106	87645	88973	1329	1	0.540	11	GGA/GAG/AGG	GENOMAD.138208.PC	1.349e-26	117	0	0	0	1	NA	NA	NA	PF13006	Insertion element 4 transposase N-terminal
ctg247_8x_c_107	88970	89767	798	-1	0.476	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg247_8x_c_108	90220	91077	858	-1	0.572	11	GGA/GAG/AGG	GENOMAD.123339.PV	6.224e-156	488	0	1	0	1	NA	NA	NA	PF02387;TIGR03474	incFII family plasmid replication initiator RepA
ctg247_8x_c_109	91381	91635	255	-1	0.435	11	AGGAGG	GENOMAD.000614.PP	1.802e-22	92	0	1	0	1	NA	NA	NA	PF10723;COG4877	Replication regulatory protein RepB
ctg247_8x_c_110	93610	93834	225	-1	0.560	11	AGGA/GGAG/GAGG	GENOMAD.129401.PV	2.62e-29	111	0	1	0	1	NA	NA	NA	PF12602;PF04352;COG3109	Fertility inhibition protein N terminal; ProQ/FINO family
